Name,ISIN,Closing Price,DateTime,Volumen,Previous Day Closing Price,Stock Exchange
"1+1 DRILLISCH AG O.N.",,60.05,6/8/2018 5:35:00 PM,86531,60.2,File #3
"1+1 DRILLISCH AG O.N.",,62.5,6/11/2018 5:35:00 PM,267005,60.05,TechDAX
"1+1 DRILLISCH AG O.N.",,63.8,6/12/2018 5:35:00 PM,205621,62.5,TechDAX
"1+1 DRILLISCH AG O.N.",,63.6,6/13/2018 5:35:00 PM,207634,63.8,TechDAX
"1+1 DRILLISCH AG O.N.",,64.45,6/14/2018 5:35:00 PM,177006,63.6,TechDAX
"1+1 DRILLISCH AG O.N.",,63.6,6/15/2018 5:35:00 PM,549387,64.45,TechDAX
"1+1 DRILLISCH AG O.N.",,62.1,6/18/2018 5:35:00 PM,230445,63.6,TechDAX
"1+1 DRILLISCH AG O.N.",,60.85,6/19/2018 5:35:00 PM,266208,62.1,TechDAX
"1+1 DRILLISCH AG O.N.",,61,6/20/2018 5:35:00 PM,148087,60.85,TechDAX
"1+1 DRILLISCH AG O.N.",,60.35,6/21/2018 5:35:00 PM,186388,61,TechDAX
"1+1 DRILLISCH AG O.N.",,59.1,6/22/2018 5:35:00 PM,236313,60.35,TechDAX
"1+1 DRILLISCH AG O.N.",,57.7,6/25/2018 5:35:00 PM,243382,59.1,TechDAX
"1+1 DRILLISCH AG O.N.",,57.2,6/26/2018 5:35:00 PM,197486,57.7,TechDAX
"1+1 DRILLISCH AG O.N.",,52,6/27/2018 5:35:00 PM,790680,57.2,TechDAX
"1+1 DRILLISCH AG O.N.",,48.36,6/28/2018 5:35:00 PM,613427,52,TechDAX
"1+1 DRILLISCH AG O.N.",,48.76,6/29/2018 5:35:00 PM,486226,48.36,TechDAX
"1+1 DRILLISCH AG O.N.",,48.22,7/2/2018 5:35:00 PM,261557,48.76,TechDAX
"1+1 DRILLISCH AG O.N.",,48.32,7/3/2018 5:35:00 PM,276491,48.22,TechDAX
"1+1 DRILLISCH AG O.N.",,48.62,7/4/2018 5:35:00 PM,169603,48.32,TechDAX
"1+1 DRILLISCH AG O.N.",,49.54,7/5/2018 5:35:00 PM,213289,48.62,TechDAX
"1+1 DRILLISCH AG O.N.",,51,7/6/2018 5:35:00 PM,339602,49.54,TechDAX
"1+1 DRILLISCH AG O.N.",,50.7,7/9/2018 5:35:00 PM,281658,51,TechDAX
"1+1 DRILLISCH AG O.N.",,50.55,7/10/2018 5:35:00 PM,250627,50.7,TechDAX
"1+1 DRILLISCH AG O.N.",,50.25,7/11/2018 5:35:00 PM,183466,50.55,TechDAX
"1+1 DRILLISCH AG O.N.",,50.4,7/12/2018 5:35:00 PM,206393,50.25,TechDAX
"1+1 DRILLISCH AG O.N.",,50.05,7/13/2018 5:35:00 PM,194946,50.4,TechDAX
"1+1 DRILLISCH AG O.N.",,49.90,7/16/2018 5:35:00 PM,103524,50.05,TechDAX
"1+1 DRILLISCH AG O.N.",,49.26,7/17/2018 5:35:00 PM,172668,49.90,TechDAX
"1+1 DRILLISCH AG O.N.",,50.20,7/18/2018 5:35:00 PM,167924,49.26,TechDAX
"1+1 DRILLISCH AG O.N.",,50.10,7/19/2018 5:35:00 PM,162944,50.20,TechDAX
"1+1 DRILLISCH AG O.N.",,50.40,7/20/2018 5:35:00 PM,129965,50.10,TechDAX
"1+1 DRILLISCH AG O.N.",,50.25,7/23/2018 5:35:00 PM,106637,50.40,TechDAX
"A.SPRINGER SE VNA",,61,6/8/2018 5:35:00 PM,140412,60.8,Mdax
"A.SPRINGER SE VNA",,60.85,6/11/2018 5:35:00 PM,125496,61,Mdax
"A.SPRINGER SE VNA",,61,6/12/2018 5:35:00 PM,139368,60.85,Mdax
"A.SPRINGER SE VNA",,61.5,6/13/2018 5:35:00 PM,159325,61,Mdax
"A.SPRINGER SE VNA",,61.6,6/14/2018 5:35:00 PM,266582,61.5,Mdax
