TeleTrader Name;ISIN
A.SPRINGER AG VNA;DE0005501357
A.SPRINGER SE VNA;DE0005501357
AAREAL BANK AG;DE0005408116
AB INBEV;BE0003793107
ABN AMRO Group;NL0011540547
ACCOR;FR0000120404
ADIDAS AG NA O.N.;DE000A1EWWW0
ADLER REAL ESTATE AG;DE0005008007
ADO PROPERTIES S....;LU1250154413
ADVA OPT.NETW.SE ...;DE0005103006
AEGON;NL0000303709
AGEAS;BE0974264930
AGRANA BETEILIGUN...;AT0000603709
AGRANA BETEILIGUNGS-AG;AT0000603709
AHOLD DEL;NL0010672325
AHOLD KON;NL0010672325
AIR LIQUIDE;FR0000120073
AIRBUS;NL0000235190
AIRBUS GROUP;to be dropped
AIRBUS GROUP N.V.;to be dropped
AIRBUS GROUP SE;NL0000235190
AIRBUS GRP (LEGAL...;NL0000235190
AIXTRON SE NA O.N.;DE000A0WMPJ6
AIXTRON SE NA Z.V...;DE000A0WMPJ6
AKZO NOBEL;NL0000009132
ALCATEL-LUCENT;FR0000130007
ALLIANZ SE NA O.N.;DE0008404005
ALLIANZ SE VNA O.N.;DE0008404005
ALSTOM;FR0010220475
ALSTRIA OFFICE RE...;DE000A0LD2U1
ALSTRIA OFFICE REIT-AG;DE000A0LD2U1
ALTICE;LU1014539529
ALTICE NV;LU1014539529
AMADEUS FIRE AG;DE0005093108
AMAG Austria Meta...;AT00000AMAG3
AMAG AUSTRIA META...;AT00000AMAG3
AMAG AUSTRIA METALL AG;AT00000AMAG3
ANDRITZ AG;AT0000730007
ARCELORMITTAL;LU0323134006
ARCELORMITTAL SA;LU1598757687
ARKEMA;FR0010313833
AROUNDTOWN EO-,01;LU1673108939
ASML HOLDING;NL0010273215
AT;AT0000969985
AT&S Austria Tech...;AT0000969985
AT&S AUSTRIA TECH...;AT0000969985
ATOS;FR0000051732
ATOS SE;FR0000051732
AURUBIS AG;DE0006766504
AXA;FR0000120628
B.COM.PORTUGUES;PTBCP0AM0007
B.ESPIRITO SANTO;PTBES0AM0007
BALDA AG O.N.;DE0005215107
BASF SE NA O.N.;DE000BASF111
BAUER AG;DE0005168108
BAY.MOTOREN WERKE AG ST;DE0005190003
BAY.MOTOREN WERKE...;DE0005190003
BAYER AG  NA;DE000BAY0017
BAYER AG NA;DE000BAY0017
BAYER AG NA O.N.;DE000BAY0017
BAYWA AG VINK.NA. O.N.;DE0005194062
BAYWA AG VINK.NA....;DE0005194062
BB BIOTECH NAM.      SF 1;CH0038389992
BB BIOTECH NAM.  ...;CH0038389992
BB BIOTECH NAM. ...;CH0038389992
BECHTLE AG O.N.;DE0005158703
BEIERSDORF AG O.N.;DE0005200000
BELGACOM;BE0003810273
BERTRANDT AG O.N.;DE0005232805
BET-AT-HOME.COM A...;DE000A0DNAY5
BIC;FR0000120966
BILFINGER SE O.N.;DE0005909006
BIOMERIEUX;FR0010096479
BIOTEST AG VZ O.N.;DE0005227235
BNP PARIBAS ACT.A;FR0000131104
BOLLORE;FR0000039299
BORUSSIA DORTMUND;DE0005493092
BOSKALIS WESTMIN;NL0000852580
BOUYGUES;FR0000120503
BPOST;BE0974268972
BRAAS MONIER BD.G...;LU1075065190
BRAAS MONIER BD.GR.EO-,01;LU1075065190
BRENNTAG AG;DE000A1DAHH0
BRENNTAG AG NA O.N.;DE000A1DAHH0
BUREAU VERITAS;FR0006174348
BUWOG AG;AT00BUWOG001
C.A.T. OIL AG;AT0000A00Y78
CA IMMOBILIEN ANL...;AT0000641352
CA IMMOBILIEN ANLAGEN AG;AT0000641352
CANCOM SE O.N.;DE0005419105
CAP GEMINI;FR0000125338
CAPGEMINI;FR0000125338
Capital Stage AG;DE0006095003
CAPITAL STAGE AG;DE0006095003
CARL ZEISS MEDITE...;DE0005313704
CARL ZEISS MEDITEC AG;DE0005313704
CARREFOUR;FR0000120172
CASINO GUICHARD;FR0000125585
CELESIO AG NAM. O.N.;DE000CLS1001
CENTROTEC SUSTAIN...;DE0005407506
CENTROTEC SUSTAINABLE O.N;DE0005407506
CENTURY CASINOS INC;AT0000499900
CEWE COLOR HOLDIN...;DE0005403901
CEWE STIFT.KGAA  ...;DE0005403901
CEWE STIFT.KGAA  O.N.;DE0005403901
CEWE STIFT.KGAA ...;DE0005403901
CHORUS CLEAN ENER...;DE000A12UL56
COLRUYT;BE0974256852
COLRUYT (D);BE0974256852
COMDIRECT BANK AG;DE0005428007
COMMERZBANK AG;DE000CBK1001
COMPUGROUP MED.AG O.N.;DE0005437305
COMPUGROUP MED.AG...;DE0005437305
COMPUGROUP MED.SE...;DE0005437305
CONTINENTAL AG O.N.;DE0005439004
CONWERT IMMOBILIE...;AT0000697750
CONWERT IMMOBILIEN INVEST SE;AT0000697750
COVESTRO AG  O.N.;DE0006062144
CREDIT AGRICOLE;FR0000045072
CROSS INDUSTRIES AG;AT0000820659
CTS EVENTIM AG;DE0005470306
CTS EVENTIM KGAA;DE0005470306
DAIMLER AG NA O.N.;DE0007100000
DANONE;FR0000120644
DASSAULT SYSTEMES;FR0000130650
DELHAIZE GROUP;BE0003562700
