ISIN;Name;EPS;Months in Report;Report Expiry Date;Own Investor Link;Stock Exchange Link
DE0005408116;Aareal Bank AG;2,08;6;2016.11.10;http://www.aareal-bank.com/investor-relations/;http://www.boerse-frankfurt.de/de/aktien/aareal+bank+ag+ag+DE0005408116
NL0011540547;ABN AMRO;;;;;
NL0011540547;ABN AMRO Group;;;;;
FR0000120404;Accor S.A.;0,97;12;2015.09.10;http://www.accor.com/en/finance.html;http://www.finanzen.net/aktien/Accor-Aktie
DE000A1EWWW0;adidas AG;2,23;3;2017.11.09;http://www.adidas-group.com/en/investors/financial-reports/;http://www.boerse-frankfurt.de/de/aktien/adidas+ag+ag+DE000A1EWWW0
DE0005008007;ADLER REAL ESTATE AG;0,06;6;2016.08.12;;http://www.boerse-frankfurt.de/de/aktien/adler+real+estate+ag+ag+DE0005008007
LU1250154413;ADO Properties S.A.;0,14;3;2016.08.17;;http://www.boerse-frankfurt.de/aktie/ADO_Properties-Aktie
DE0005103006;ADVA Optical Networking SE;0,19;6;2015.10.22;http://www.advaoptical.com/;http://www.boerse-frankfurt.de/de/aktien/adva+optical+networking+se+ag+DE0005103006
NL0000303709;Aegon N.V.;0,22;12;2016.12.21;;http://www.finanzen.net/aktien/AEGON-Aktie
BE0974264930;ageas NV;2,13;12;2015.12.29;;http://www.finanzen.net/aktien/ageas_NV-Aktie
AT0000603709;AGRANA Beteiligungs-AG;1,45;3;2015.10.08;;http://www.wienerborse.at/marketsearch/?SEARCHVALUE=AT0000603709
NL0010672325;Ahold NV;0;12;2016.09.08;;http://www.finanzen.net/aktien/Ahold_NV-Aktie
FR0000120073;Air Liquide S.A.;4,85;12;2015.12.05;;http://www.finanzen.net/aktien/Air_Liquide-Aktie
NL0000235190;Airbus Group;2,99;12;2015.12.08;;http://www.finanzen.net/aktien/Airbus-Aktie
DE000A0WMPJ6;AIXTRON AG;-0,23;6;2016.11.08;;http://www.boerse-frankfurt.de/de/aktien/aixtron+se+ag+DE000A0WMPJ6
NL0000009132;Akzo Nobel N.V.;3,92;12;2016.10.27;;http://www.finanzen.net/aktien/Akzo_Nobel-Aktie
DE0008404005;Allianz SE;4;3;2017.11.11;;http://www.boerse-frankfurt.de/de/aktien/allianz+se+ag+DE0008404005
FR0010220475;Alstom S.A.;-4,09;12;2016.12.13;;http://www.finanzen.net/aktien/Alstom-Aktie
DE000A0LD2U1;alstria office REIT-AG;0,18;6;2015.11.03;;http://www.boerse-frankfurt.de/de/aktien/reits/alstria+office+reit+ag+reit+DE000A0LD2U1
LU1014539529;Altice;0;12;2016.08.30;;http://www.finanzen.net/aktien/Altice-Aktie
DE0005093108;Amadeus Fire AG;1,46;6;2015.10.01;;http://www.boerse-frankfurt.de/de/aktien/amadeus+fire+ag+ag+DE0005093108
AT00000AMAG3;AMAG Austria Metall AG;0,22;3;2016.08.02;;https://www.wienerborse.at/marktdaten/aktien-sonstige/preisdaten/?ID_NOTATION=44969103&ISIN=AT00000AMAG3
AT0000730007;Andritz AG;1,28;6;2017.11.03;;http://www.wienerborse.at/marketsearch/?SEARCHVALUE=AT0000730007
BE0003793107;Anheuser-Busch InBev;0,64;12;2017.10.06;;http://www.finanzen.net/aktien/Anheuser_Busch_InBev-Aktie
LU1598757687;ArcelorMittal;;;;;
FR0010313833;ArkemaAct;2,53;12;2015.09.17;;http://www.finanzen.net/aktien/ArkemaAct-Aktie
NL0010273215;ASML Holding NV;3,24;12;2015.12.28;;http://www.finanzen.net/aktien/ASML-Aktie
AT0000969985;AT&S Austria Technologie & Systemtechnik AG;-0,35;3;2016.10.13;http://www.ats.net/de/investoren/;https://www.wienerborse.at/marktdaten/aktien-sonstige/preisdaten/?ISIN=AT0000969985&market=wbag&typo3=0&news=0&products=1&ID_NOTATION=23021010
FR0000051732;ATOS;2,67;12;2015.12.05;;http://www.finanzen.net/aktien/ATOS-Aktie
DE0006766504;Aurubis AG;1,58;9;2016.12.14;;http://www.boerse-frankfurt.de/de/aktien/aurubis+ag+ag+DE0006766504
FR0000120628;AXA S.A.;1,95;12;2015.12.12;;http://www.finanzen.net/aktien/AXA-Aktie
DE0005501357;Axel Springer AG;1,09;6;2015.11.04;;http://www.boerse-frankfurt.de/de/aktien/axel+springer+se+ag+DE0005501357
DE000BASF111;BASF SE NA O.N.;2,66;6;2015.10.27;;http://www.boerse-frankfurt.de/de/aktien/basf+se+DE000BASF111
DE000BAY0017;Bayer AG;2,97;6;2015.10.29;;http://www.boerse-frankfurt.de/de/aktien/bayer+ag+ag+DE000BAY0017
DE0005194062;BayWa AG vNa;0,01;6;2016.11.06;;http://www.boerse-frankfurt.de/de/aktien/baywa+ag+vna+ag+DE0005194062
DE0005158703;Bechtle AG;0,75;3;2015.08.07;http://www.bechtle.com/ir;http://www.boerse-frankfurt.de/de/aktien/bechtle+ag+ag+DE0005158703
DE0005200000;Beiersdorf AG;1,61;6;2016.12.31;;http://www.boerse-frankfurt.de/de/aktien/beiersdorf+aktiengesellschaft+ag+DE0005200000
BE0003810273;Belgacom S.A.;1,5;12;2017.01.19;;http://www.finanzen.net/aktien/Belgacom-Aktie
DE0005232805;Bertrandt AG;2,96;6;2015.08.19;;http://www.boerse-frankfurt.de/de/aktien/bertrandt+ag+ag+DE0005232805
DE000A0DNAY5;bet-at-home.com;;;;;
FR0000120966;BIC SA;5,57;12;2015.10.29;;http://www.finanzen.net/aktien/BIC-Aktie
DE0005909006;Bilfinger Berger AG;0,75;6;2015.11.12;http://www.bilfinger.com/en/;http://www.boerse-frankfurt.de/de/aktien/bilfinger+se+ag+DE0005909006
FR0010096479;bioMérieux S.A. ;;;;;
DE0005227235;Biotest AG Vz;0,11;3;2015.08.11;;http://www.boerse-frankfurt.de/de/aktien/biotest+ag+vz+ag+DE0005227235
DE0005190003;BMW AG St;5,44;6;2016.11.04;;http://www.boerse-frankfurt.de/de/aktien/bmw+ag+st+ag+DE0005190003
FR0000131104;BNP Paribas SA;5,13;12;2016.11.09;;http://www.finanzen.net/aktien/BNP_Paribas-Aktie
DE0005493092;Borussia Dortmund GmbH & Co. KGaA;-0,16;9;2016.09.23;http://www.bvb.de/aktie;http://www.boerse-frankfurt.de/de/aktien/borussia+dortmund+gmbh+co+kgaa+ag+DE0005493092
FR0000120503;Bouygues;2,4;12;2015.08.22;;http://www.finanzen.net/aktien/Bouygues-Aktie
DE000A1DAHH0;Brenntag AG;0,59;3;2015.08.06;;http://www.boerse-frankfurt.de/de/aktien/brenntag+ag+ag+DE000A1DAHH0
FR0006174348;Bureau Veritas Registre ...;0,67;12;2015.09.17;;http://www.finanzen.net/aktien/Bureau_Veritas_Registre_International_de_Classification_de_Navires_et_dAeronefs-Aktie
AT00BUWOG001;BUWOG AG;2,87;9;2017.08.31;;http://www.wienerborse.at/marketsearch/?SEARCHVALUE=AT00BUWOG001
AT0000641352;CA Immobilien Anlagen AG;0,25;3;2017.08.24;;http://www.wienerborse.at/marketsearch/?SEARCHVALUE=AT0000641352
DE0005419105;CANCOM AG;0,22;3;2015.08.11;;http://www.boerse-frankfurt.de/de/aktien/cancom+se+ag+DE0005419105
FR0000125338;Cap Gemini S.A.;3,67;12;2015.09.10;;http://www.finanzen.net/aktien/Cap_Gemini-Aktie
DE0006095003;Capital Stage AG;0,01;3;2015.08.31;;http://www.boerse-frankfurt.de/de/aktien/capital+stage+ag+ag+DE0006095003
DE0005313704;Carl Zeiss Meditec AG;0,37;6;2015.08.07;;http://www.boerse-frankfurt.de/de/aktien/carl+zeiss+meditec+ag+ag+DE0005313704
FR0000120172;Carrefour S.A.;1,35;12;2016.10.27;;http://www.finanzen.net/aktien/Carrefour-Aktie
FR0000125585;Casino Guichard-Perrachon et Cie. S.A.;2,04;12;2015.09.27;;http://www.finanzen.net/aktien/Casino_Guichard-Perrachon_et_Cie-Aktie
DE0005403901;CeWe Color Holding AG;0,03;6;2016.11.10;http://company.cewe.de/en/home.html;http://www.boerse-frankfurt.de/de/aktien/cewe+stiftung+co+kgaa+ag+DE0005403901
BE0974256852;Colruyt N.V.;2,49;12;2016.11.02;;http://www.finanzen.net/aktien/Etablissementen_Franz_Colruyt_NV-Aktie
DE000CBK1001;Commerzbank AG;-0,32;6;2017.11.09;http://www.commerzbank.de/;http://www.boerse-frankfurt.de/de/aktien/commerzbank+ag+ag+DE000CBK1001
DE0005437305;CompuGroup Medical AG;0,42;3;2015.08.06;;http://www.boerse-frankfurt.de/de/aktien/compugroup+medical+ag+ag+DE0005437305
